id,citing,cited
oci:06410102831-06902742249,omid:br/06410102831,omid:br/06902742249
oci:061203899397-06170480712,omid:br/061203899397,omid:br/06170480712
oci:06380137167-062601191452,omid:br/06380137167,omid:br/062601191452
oci:061203247922-06503473683,omid:br/061203247922,omid:br/06503473683
oci:06350115407-061502581848,omid:br/06350115407,omid:br/061502581848
oci:06204365563-06403865549,omid:br/06204365563,omid:br/06403865549
oci:06903984594-06401650085,omid:br/06903984594,omid:br/06401650085
oci:06504378666-06401847652,omid:br/06504378666,omid:br/06401847652
oci:06360137674-06140141565,omid:br/06360137674,omid:br/06140141565
oci:06404433729-06110879174,omid:br/06404433729,omid:br/06110879174
oci:06201533465-06601116990,omid:br/06201533465,omid:br/06601116990
oci:06410120565-06502424823,omid:br/06410120565,omid:br/06502424823
oci:06490160533-06401272717,omid:br/06490160533,omid:br/06401272717
oci:061403901799-06101444714,omid:br/061403901799,omid:br/06101444714
oci:061103986662-06302570684,omid:br/061103986662,omid:br/06302570684
oci:06504418734-06260712923,omid:br/06504418734,omid:br/06260712923
oci:06270187307-06260509807,omid:br/06270187307,omid:br/06260509807
oci:06270156498-06301581960,omid:br/06270156498,omid:br/06301581960
oci:061703131315-06220464305,omid:br/061703131315,omid:br/06220464305
oci:06450130785-06260221084,omid:br/06450130785,omid:br/06260221084
oci:06490181702-06180691249,omid:br/06490181702,omid:br/06180691249
oci:06410120953-06402387868,omid:br/06410120953,omid:br/06402387868
oci:06250194083-061601824826,omid:br/06250194083,omid:br/061601824826
oci:06340186727-061103494602,omid:br/06340186727,omid:br/061103494602
oci:06520174697-06501054505,omid:br/06520174697,omid:br/06501054505
oci:06320152648-06150162273,omid:br/06320152648,omid:br/06150162273
oci:06804425487-06130593005,omid:br/06804425487,omid:br/06130593005
oci:06440114699-06503288031,omid:br/06440114699,omid:br/06503288031
oci:061903918934-06701544265,omid:br/061903918934,omid:br/06701544265
oci:06903999329-06303941329,omid:br/06903999329,omid:br/06303941329
oci:061303824588-062602841681,omid:br/061303824588,omid:br/062602841681
oci:06502797248-062401715323,omid:br/06502797248,omid:br/062401715323
oci:06280186997-06120177825,omid:br/06280186997,omid:br/06120177825
oci:06404352132-06603465046,omid:br/06404352132,omid:br/06603465046
oci:06510187975-06701544669,omid:br/06510187975,omid:br/06701544669
oci:062303939150-06180353480,omid:br/062303939150,omid:br/06180353480
